"Company","Date","Followers"
"IBM",2023-02-25,15072197
"Oracle",2023-02-25,8775051
"Accenture",2023-02-25,10318953
"Microsoft",2023-02-25,19052816
"Deloitte",2023-02-25,11806145
"Siemens",2023-02-25,5991946
"Intel Corporation",2023-02-25,3225173
"Intel Capital",2023-02-25,45367
"Cisco",2023-02-25,5710742
"J.P. Morgan",2023-02-25,3644467
"JPMorgan Chase & Co.",2023-02-25,3698005
"EY",2023-02-25,7243256
"NXP Semiconductors",2023-02-25,553723
"Bank of America",2023-02-25,2419304
"Pfizer",2023-02-25,5188656
"Wells Fargo",2023-02-25,2119051
"HSBC",2023-02-25,3228672
"Deutsche Bank",2023-02-25,1864016
"American Express",2023-02-25,1839916
"Infosys",2023-02-25,6826738
"Lockheed Martin",2023-02-25,2032418
"U.S. Navy Reserve",2023-02-25,53176
"US Navy",2023-02-25,697554
"LinkedIn",2023-02-25,24468173
"Air Force Research Laboratory",2023-02-25,124614
"Tata Consultancy Services",2023-02-25,12063579
"National Security Agency",2023-02-25,349183
"Goldman Sachs",2023-02-25,3666822
"Boeing",2023-02-25,2952207
"T-Mobile",2023-02-25,515526
"Texas Instruments",2023-02-25,706205
"Booz Allen Hamilton",2023-02-25,574791
"Northrop Grumman",2023-02-25,1053993
"CGI",2023-02-25,1085777
"Capital One",2023-02-25,617029
"Google",2023-02-25,27907908
"Adobe",2023-02-25,3967615
"PayPal",2023-02-25,1218264
"SAS",2023-02-25,826882
"AMD",2023-02-25,1039865
"MIT Media Lab",2023-02-25,134834
"MIT Sloan School of Management",2023-02-25,444068
"Massachusetts Institute of Technology",2023-02-25,1318984
"BNP Paribas",2023-02-25,1254200
"Amazon",2023-02-25,29534684
"British Army",2023-02-25,140258
"STMicroelectronics",2023-02-25,597364
"Boston Scientific",2023-02-25,792328
"Harvard Business Review",2023-02-25,14054880
"Boston Children's Hospital",2023-02-25,129298
"Cognizant",2023-02-25,6040929
"ExxonMobil",2023-02-25,2820464
"Boston Consulting Group (BCG)",2023-02-25,3594172
"Stanford University Graduate School of Business",2023-02-25,454063
"European Commission",2023-02-25,1634254
"Council of the European Union",2023-02-25,280959
"European Parliament",2023-02-25,708463
"Prudential Financial",2023-02-25,300102
"Charles Schwab",2023-02-25,268853
"United Nations",2023-02-25,4874932
"BAE Systems Inc.",2023-02-25,226244
"General Dynamics",2023-02-25,297733
"PTC",2023-02-25,301067
"Thales",2023-02-25,1121214
"NASA Glenn Research Center",2023-02-25,118788
"NASA Goddard Space Flight Center",2023-02-25,166563
"NASA Langley Research Center",2023-02-25,33878
"NASA Ames Research Center",2023-02-25,90576
"NASA - National Aeronautics and Space Administration",2023-02-25,6278757
"NASA Jet Propulsion Laboratory",2023-02-25,902773
"Qualcomm",2023-02-25,1199930
"Applied Materials",2023-02-25,357298
"CNN",2023-02-25,3217045
"Gartner",2023-02-25,1516489
"Bain & Company",2023-02-25,1623693
"Infineon Technologies",2023-02-25,408176
"TEKsystems",2023-02-25,717136
"Visa",2023-02-25,1403948
"Keller Williams Realty Inc.",2023-02-25,414966
"Standard Chartered Bank",2023-02-25,1848182
"Juniper Networks",2023-02-25,672457
"The Wall Street Journal",2023-02-25,9656890
"Dun & Bradstreet",2023-02-25,189359
"Pratt & Whitney",2023-02-25,594438
"Hilton",2023-02-25,1767132
"Zurich Insurance",2023-02-25,721184
"U.S. Bank",2023-02-25,416729
"Experian",2023-02-25,558125
"Walmart",2023-02-25,4244358
"SunTrust",2023-02-25,122410
"TD",2023-02-25,711132
