"Company","Date","Followers"
"International Justice Mission",2023-01-21,75167
"International Justice Mission",2023-02-10,75842
"International Justice Mission",2023-02-25,76548
"International Justice Mission",2023-03-13,77022
"International Justice Mission",2023-03-29,77544
"International Justice Mission",2023-04-10,77932
"International Justice Mission",2023-04-23,78352
"International Justice Mission",2023-06-05,79972
"International Justice Mission",2023-06-11,80247
"International Justice Mission",2023-06-23,80816
"International Justice Mission",2023-07-06,81462
"International Justice Mission",2023-07-23,82256
"International Justice Mission",2023-08-05,83068
"International Justice Mission",2023-08-29,84417
"International Justice Mission",2023-10-18,86479
"International Justice Mission",2023-12-14,86599
"International Justice Mission",2023-12-17,86732
"International Justice Mission",2023-12-18,86772
"International Justice Mission",2024-04-08,93191
"International Justice Mission",2024-05-04,94281
"International Justice Mission",2024-05-28,95115
"International Justice Mission",2024-06-24,95821
"International Justice Mission",2024-06-28,95956
"International Justice Mission",2024-07-20,96607
"International Labour Organization",2023-01-28,330795
"International Livestock Research Institute (ILRI)",2023-01-28,73161
"International Monetary Fund",2023-01-21,649303
"International Monetary Fund",2023-01-28,651812
"International Monetary Fund",2023-02-10,658030
"International Monetary Fund",2023-02-25,664158
"International Monetary Fund",2023-03-13,670585
"International Monetary Fund",2023-03-29,676661
"International Monetary Fund",2023-04-10,680911
"International Monetary Fund",2023-04-23,688321
"International Monetary Fund",2023-06-05,701966
"International Monetary Fund",2023-06-11,704131
"International Monetary Fund",2023-06-23,708774
"International Monetary Fund",2023-07-06,713754
"International Monetary Fund",2023-07-23,719379
"International Monetary Fund",2023-08-05,725686
"International Monetary Fund",2023-08-29,733898
"International Monetary Fund",2023-10-18,753819
"International Monetary Fund",2023-12-14,753431
"International Monetary Fund",2023-12-17,755090
"International Monetary Fund",2023-12-18,755485
"International Monetary Fund",2024-05-04,806463
"International Monetary Fund",2024-05-28,812878
"International Monetary Fund",2024-06-28,821600
"International Space Station National Laboratory",2023-01-21,18387
"International Space Station National Laboratory",2023-02-25,19188
"International Space Station National Laboratory",2023-03-13,19660
"International Space Station National Laboratory",2023-03-29,20145
"International Space Station National Laboratory",2023-04-10,20468
"International Space Station National Laboratory",2023-04-23,20858
"International Space Station National Laboratory",2023-06-05,22049
"International Space Station National Laboratory",2023-06-11,22197
"International Space Station National Laboratory",2023-06-23,22381
"International Space Station National Laboratory",2023-07-06,22615
"International Space Station National Laboratory",2023-07-23,22847
"International Space Station National Laboratory",2023-08-05,23361
"International Space Station National Laboratory",2023-08-29,24096
"International Space Station National Laboratory",2023-10-18,24517
"International Space Station National Laboratory",2023-12-18,25567
"International Water Association",2023-01-28,85844
"International Water Management Institute (IWMI)",2023-01-28,73908
"International WaterCentre",2023-01-28,7666
"Internet Archive",2023-01-21,26472
"Internet Archive",2023-02-10,26930
"Internet Archive",2023-02-25,27201
"Internet Archive",2023-03-13,27504
"Internet Archive",2023-03-29,27914
"Internet Archive",2023-04-10,28205
"Internet Archive",2023-04-23,28520
"Internet Archive",2023-06-05,29511
"Internet Archive",2023-06-11,29653
"Internet Archive",2023-06-23,29952
"Internet Archive",2023-07-06,30244
"Internet Archive",2023-07-23,30557
"Internet Archive",2023-08-05,30921
"Internet Archive",2023-08-29,31573
"Internet Archive",2023-10-18,33342
"Internet Archive",2023-12-14,33695
"Internet Archive",2023-12-17,33783
"Internet Archive",2023-12-18,33797
"Internet Archive",2024-04-08,36665
"Internet Archive",2024-05-04,37314
"Internet Archive",2024-05-28,37808
"Internet Archive",2024-06-24,38430
"Internet Archive",2024-06-28,38553
"Internet Archive",2024-07-20,39200
"Interreg North West Europe (NWE)",2023-01-28,7214
"Intuit",2021-01-19,309416
"Intuit Mailchimp",2023-01-21,173117
"Intuit Mailchimp",2023-02-10,173930
"Intuit Mailchimp",2023-02-25,174478
"Intuit Mailchimp",2023-03-13,175029
"Intuit Mailchimp",2023-03-29,175703
"Intuit Mailchimp",2023-04-10,176231
"Intuit Mailchimp",2023-04-23,177588
"Intuit Mailchimp",2023-06-05,179738
"Intuit Mailchimp",2023-06-11,179952
"Intuit Mailchimp",2023-06-23,180569
"Intuit Mailchimp",2023-07-06,181061
"Intuit Mailchimp",2023-07-23,181664
"Intuit Mailchimp",2023-08-05,182317
"Intuit Mailchimp",2023-08-29,183234
"Intuit Mailchimp",2023-10-18,186010
"Intuit Mailchimp",2023-12-17,183636
"Intuit Mailchimp",2023-12-18,183662
"Intuition Machine",2023-01-25,198
"Intuition Machine",2023-01-29,198
"Intuitive Machines",2023-10-18,11536
"Intuitive Machines",2023-12-17,12354
"Intuitive Machines",2023-12-18,12362
"Intuity Media Lab",2023-01-25,1725
"Invenia Labs",2020-10-16,1490
"Invenia Labs",2020-10-20,1493
"Invenia Labs",2020-10-21,1495
"Invenia Labs",2020-10-28,1507
"Invenia Labs",2020-10-31,1511
"Invenia Labs",2020-11-02,1519
"Invenia Labs",2020-11-07,1528
"Invenia Labs",2020-11-12,1534
"Invenia Labs",2020-11-21,1546
"Invenia Labs",2021-06-16,1779
"Invenia Labs",2021-06-21,1781
"Invenia Labs",2021-06-29,1790
"Invenia Labs",2021-07-02,1792
"Invenia Labs",2021-07-04,1793
"Invenia Labs",2021-07-09,1797
"Invenia Labs",2021-07-14,1801
"Invenia Labs",2021-07-18,1804
"Invenia Labs",2021-07-22,1809
"Invenia Labs",2021-08-14,1831
"Invenia Labs",2021-08-26,1841
"Invenia Labs",2021-09-02,1841
"Invenia Labs",2021-09-16,1856
"Invenia Labs",2021-10-17,1896
"Invenia Labs",2021-10-29,1907
"Invenia Labs",2021-11-06,1924
"Invenia Labs",2021-11-20,1940
"Invenia Labs",2021-12-07,1956
"Invenia Labs",2021-12-14,1959
"Invenia Labs",2021-12-20,1964
"Invenia Labs",2021-12-26,1973
"Invenia Labs",2021-12-30,1979
"Invenia Labs",2021-12-31,1979
"Invenia Labs",2022-01-03,1980
"Invenia Labs",2022-01-04,1980
"Invenia Labs",2022-01-06,1982
"Invenia Labs",2022-01-07,1984
"Invenia Labs",2022-01-10,1987
"Invenia Labs",2022-01-14,1991
"Invenia Labs",2022-01-18,1995
"Invenia Labs",2022-01-27,2009
"Invenia Labs",2022-02-01,2011
"Invenia Labs",2022-02-07,2013
"Invenia Labs",2022-02-10,2018
"Invenia Labs",2022-02-16,2022
"Invenia Labs",2022-02-20,2030
"Invenia Labs",2022-02-23,2032
"Invenia Labs",2022-02-26,2037
"Invenia Labs",2022-03-03,2042
"Invenia Labs",2022-03-07,2045
"Invenia Labs",2022-03-15,2053
"Invenia Labs",2022-03-31,2069
"Invenia Labs",2022-04-09,2080
"Invenia Labs",2022-04-13,2084
"Invenia Labs",2022-04-19,2086
"Invenia Labs",2022-04-29,2097
"Invenia Labs",2022-05-05,2105
"Invenia Labs",2022-05-12,2108
"Invenia Labs",2022-05-22,2117
"Invenia Labs",2022-05-23,2118
"Invenia Labs",2022-05-25,2118
"Invenia Labs",2022-05-27,2122
"Invenia Labs",2022-06-01,2125
"Invenia Labs",2022-06-03,2130
"Invenia Labs",2022-06-07,2133
"Invenia Labs",2022-06-08,2133
"Invenia Labs",2022-06-11,2139
"Invenia Labs",2022-06-13,2142
"Invenia Labs",2022-06-15,2145
"Invenia Labs",2022-06-23,2156
"Invenia Labs",2022-06-26,2158
"Invenia Labs",2022-06-28,2160
"Invenia Labs",2022-06-30,2167
"Invenia Labs",2022-07-01,2170
"Invenia Labs",2022-07-02,2173
"Invenia Labs",2022-07-04,2175
"Invenia Labs",2022-07-05,2175
"Invenia Labs",2022-07-09,2180
"Invenia Labs",2022-07-12,2188
"Invenia Labs",2022-07-18,2198
"Invenia Labs",2022-07-21,2204
"Invenia Labs",2022-07-23,2217
"Invenia Labs",2022-07-25,2224
"Invenia Labs",2022-08-01,2233
"Invenia Labs",2022-08-08,2240
"Invenia Labs",2022-08-16,2252
"Invenia Labs",2022-08-20,2260
"Invenia Labs",2022-08-25,2265
"Invenia Labs",2022-08-28,2266
"Invenia Labs",2022-09-01,2277
"Invenia Labs",2022-09-07,2285
"Invenia Labs",2022-09-10,2288
"Invenia Labs",2022-09-16,2306
"Invenia Labs",2022-09-22,2317
"Invenia Labs",2022-09-29,2324
"Invenia Labs",2022-10-03,2327
"Invenia Labs",2022-10-09,2335
"Invenia Labs",2022-10-12,2343
"Invenia Labs",2022-10-16,2349
"Invenia Labs",2022-10-22,2363
"Invenia Labs",2022-10-28,2364
"Invenia Labs",2022-11-03,2371
"Invenia Labs",2022-11-06,2374
"Invenia Labs",2022-11-14,2377
"Invenia Labs",2022-11-20,2379
"Invenia Labs",2022-11-24,2379
"Invenia Labs",2022-12-01,2381
"Invenia Labs",2022-12-08,2387
"Invenia Labs",2022-12-14,2394
"Invenia Labs",2022-12-27,2397
"Invenia Labs",2023-01-01,2400
"Invenia Labs",2023-01-05,2402
"Invenia Labs",2023-01-09,2400
"Invenia Labs",2023-01-22,2405
"Invenia Labs",2023-01-25,2406
"Invenia Labs",2023-01-28,2408
"Invenia Labs",2023-02-04,2412
"Invenia Labs",2023-02-10,2413
"Invenia Labs",2023-02-13,2412
"Invenia Labs",2023-02-24,2411
"Invenia Labs",2023-03-10,2417
"Invenia Labs",2023-03-14,2419
"Invenia Labs",2023-03-18,2421
"Invenia Labs",2023-03-21,2422
"Invenia Labs",2023-03-25,2420
"Invenia Labs",2023-04-01,2418
"Invenia Labs",2023-04-10,2419
"Invenia Labs",2023-04-13,2422
"Invenia Labs",2023-04-21,2427
"Invenia Labs",2023-04-29,2429
"Invenia Labs",2023-05-12,2435
"Invenia Labs",2023-05-19,2439
"Invenia Labs",2023-05-29,2442
"Invenia Labs",2023-06-05,2445
"Invenia Labs",2023-06-11,2449
"Invenia Labs",2023-06-14,2451
"Invenia Labs",2023-06-17,2451
"Invenia Labs",2023-06-23,2455
"Invenia Labs",2023-06-27,2458
"Invenia Labs",2023-07-06,2463
"Invenia Labs",2023-07-23,2472
"Invenia Labs",2023-08-02,2479
"Invenia Labs",2023-08-08,2479
"Invenia Labs",2023-08-10,2480
"Invenia Labs",2023-08-29,2486
"Invenia Labs",2023-09-15,2495
"Invenia Labs",2023-10-18,2507
"Invenia Labs",2023-12-18,2498
"Invenia Labs",2024-01-22,2512
"Invenia Labs",2024-04-09,2528
"Invenia Labs",2024-04-19,2527
"Invenia Labs",2024-06-24,2546
"Invenia Labs",2024-06-28,2548
"Invenia Labs",2024-07-20,2554
"Invenia LabsInvenia Labs",2023-12-14,NA
"Invertis University",2023-01-28,11875
"Invest in Pensacola",2023-01-21,105
"Invest in Pensacola",2023-02-10,105
