"","Company","Date","Followers","...4","...5","...6","...1"
"30367","R User Group Nepal",2022-08-08,76,NA,NA,NA,22028
"30368","R User Group Nepal",2022-08-16,76,NA,NA,NA,22029
"30369","R User Group Nepal",2022-08-20,76,NA,NA,NA,22030
"30370","R User Group Nepal",2022-08-25,76,NA,NA,NA,22031
"30371","R User Group Nepal",2022-08-28,76,NA,NA,NA,22032
"30372","R User Group Nepal",2022-09-01,76,NA,NA,NA,22033
"30373","R User Group Nepal",2022-09-07,77,NA,NA,NA,22034
"30374","R User Group Nepal",2022-09-10,77,NA,NA,NA,22035
"30375","R User Group Nepal",2022-09-16,76,NA,NA,NA,22036
"30376","R User Group Nepal",2022-09-22,80,NA,NA,NA,22037
"30377","R User Group Nepal",2022-09-29,80,NA,NA,NA,22038
"30378","R User Group Nepal",2022-10-03,80,NA,NA,NA,22039
"30379","R User Group Nepal",2022-10-09,80,NA,NA,NA,22040
"30380","R User Group Nepal",2022-10-12,80,NA,NA,NA,22041
"30381","R User Group Nepal",2022-10-16,81,NA,NA,NA,22042
"30382","R User Group Nepal",2022-10-22,81,NA,NA,NA,22043
"30383","R User Group Nepal",2022-10-28,81,NA,NA,NA,22044
"30384","R User Group Nepal",2022-11-03,81,NA,NA,NA,22045
"30385","R User Group Nepal",2022-11-06,81,NA,NA,NA,22046
"30386","R User Group Nepal",2022-11-14,81,NA,NA,NA,22047
"30387","R User Group Nepal",2022-11-20,81,NA,NA,NA,22048
"30388","R User Group Nepal",2022-11-24,82,NA,NA,NA,22049
"30389","R User Group Nepal",2022-12-01,82,NA,NA,NA,22050
"30390","R User Group Nepal",2022-12-08,82,NA,NA,NA,22051
"30391","R User Group Nepal",2022-12-14,82,NA,NA,NA,22052
"30392","R User Group Nepal",2022-12-27,82,NA,NA,NA,22053
"30393","R User Group Nepal",2023-01-01,82,NA,NA,NA,22054
"30394","R User Group Nepal",2023-01-05,82,NA,NA,NA,22055
"30395","R User Group Nepal",2023-01-09,82,NA,NA,NA,22056
"30396","R User Group Nepal",2023-01-22,83,NA,NA,NA,22057
"30397","R User Group Nepal",2023-01-28,83,NA,NA,NA,22058
"30398","R User Group Nepal",2023-02-04,83,NA,NA,NA,22059
"30399","R User Group Nepal",2023-02-10,83,NA,NA,NA,22060
"30400","R User Group Nepal",2023-02-13,83,NA,NA,NA,22061
"30401","R User Group Nepal",2023-02-24,83,NA,NA,NA,22062
"30402","R User Group Nepal",2023-03-10,83,NA,NA,NA,22063
"30403","R User Group Nepal",2023-03-14,84,NA,NA,NA,22064
"30404","R User Group Nepal",2023-03-18,84,NA,NA,NA,22065
"30405","R User Group Nepal",2023-03-21,84,NA,NA,NA,22066
"30406","R User Group Nepal",2023-03-25,84,NA,NA,NA,22067
"30407","R User Group Nepal",2023-04-01,84,NA,NA,NA,22068
"30408","R User Group Nepal",2023-04-10,84,NA,NA,NA,22069
"30409","R User Group Nepal",2023-04-13,84,NA,NA,NA,22070
"30410","R User Group Nepal",2023-04-21,84,NA,NA,NA,22071
"30411","R User Group Nepal",2023-04-29,84,NA,NA,NA,22072
"30412","R User Group Nepal",2023-05-12,86,NA,NA,NA,22073
"30413","R User Group Nepal",2023-05-19,87,NA,NA,NA,22074
"30414","R User Group Nepal",2023-05-29,86,NA,NA,NA,22075
"30415","R User Group Nepal",2023-06-05,86,NA,NA,NA,22076
"30416","R User Group Nepal",2023-06-11,86,NA,NA,NA,22077
"30417","R User Group Nepal",2023-06-14,86,NA,NA,NA,22078
"30418","R User Group Nepal",2023-06-17,86,NA,NA,NA,22079
"30419","R User Group Nepal",2023-06-23,87,NA,NA,NA,22080
"30420","R User Group Nepal",2023-06-27,87,NA,NA,NA,22081
"30421","R User Group Nepal",2023-07-06,87,NA,NA,NA,22082
"30422","R User Group Nepal",2023-07-23,87,NA,NA,NA,22083
"30423","R User Group Nepal",2023-08-02,87,NA,NA,NA,22084
"30424","R User Group Nepal",2023-08-08,87,NA,NA,NA,22085
"30425","R User Group Nepal",2023-08-10,87,NA,NA,NA,22086
"30426","R User Group Nepal",2023-08-29,87,NA,NA,NA,22087
"30427","R User Group Nepal",2023-09-15,84,NA,NA,NA,22088
"30428","R User Group Nepal",2023-10-18,83,NA,NA,NA,22089
"30429","R User Group Nepal",2023-12-16,84,NA,NA,NA,22090
"30430","R User Group Nepal",2023-12-18,84,NA,NA,NA,22091
"30431","R User Group Nepal",2024-01-22,84,NA,NA,NA,22092
"30432","R User Group Nepal",2024-04-09,85,NA,NA,NA,22093
"30433","R User Group Nepal",2024-04-17,85,NA,NA,NA,22094
"30434","R User Group Nepal",2024-04-19,86,NA,NA,NA,22095
"30435","R User Group Nepal",2024-04-28,86,NA,NA,NA,22096
"30436","R User Group Nepal",2024-05-03,86,NA,NA,NA,22097
