Company,Date,Followers,Year
2K,2026-03-17,358687,2026
30DayChartChallenge,2026-04-08,3114,NA
3i - Intelligent Imaging Innovations,2026-04-08,2224,NA
AI Copenhagen,2026-03-17,341,2026
AI Council,2026-04-08,8661,NA
AI Ireland,2026-03-17,9071,2026
AI Ireland,2026-04-07,9153,NA
ASA - American Statistical Association,2026-04-08,23634,NA
AUB Computer Science Student Society,2026-03-17,174,2026
AWS AI,2026-03-17,454397,2026
AWS Databases & Analytics,2026-04-07,266706,NA
Abbott,2026-04-08,4359563,NA
Adessium Foundation,2026-03-17,5271,2026
Aga Khan Foundation USA,2026-03-17,29740,2026
Age Of Geeks,2026-04-07,148354,NA
Alfred P. Sloan Foundation,2026-04-07,10227,NA
Allen Institute,2026-04-08,102019,NA
Altair RapidMiner,2026-04-07,20913,NA
Alteryx,2026-04-08,361724,NA
Amazon Science,2026-04-07,387935,NA
Anaconda  Inc.,2026-03-17,102716,2026
Anthropic,2026-04-08,2742789,NA
Appinventiv,2026-04-07,658358,NA
Arapahoe Community College,2026-04-08,30825,NA
Argonne National Laboratory,2026-04-08,131226,NA
Artificial Intelligence Hong Kong,2026-03-17,2119,2026
AstraZeneca,2026-04-08,3789087,NA
Astral,2026-04-08,4866,NA
BCG Digital Ventures,2026-04-07,160110,NA
Ball Corporation,2026-04-08,370167,NA
Battery Technology,2026-04-08,4196,NA
Bigger Brighter Bolder,2026-04-08,927,NA
Bloomberg Philanthropies,2026-04-07,234638,NA
Boston Consulting Group (BCG),2026-04-07,5360322,NA
Brightwater Recruitment,2026-04-07,235293,NA
Brilliant®,2026-04-08,91897,NA
Bristol Myers Squibb,2026-04-08,1855495,NA
Brown and Caldwell,2026-04-08,42142,NA
Building Stories With Data,2026-04-08,163,NA
CACI International Inc,2026-04-08,278733,NA
CDPHE Colorado,2026-04-08,23612,NA
CONNECT Centre,2026-03-17,5691,2026
COVE,2026-04-08,622,NA
CSUDH Finance Student Society,2026-03-17,90,2026
CU Anschutz Dept. of Medicine,2026-04-08,2877,NA
CU Anschutz School of Medicine,2026-04-08,18494,NA
CU Dept. of Biomedical Informatics,2026-04-08,997,NA
Centre for Sustainable Fashion,2026-03-17,86705,2026
Chan Zuckerberg Initiative,2026-04-08,121689,NA
Chase,2026-04-08,682622,NA
Chatham House,2026-04-08,231735,NA
Chewy,2026-04-08,450217,NA
CivicDataLab,2026-04-07,11981,NA
Claude,2026-04-08,1145389,NA
ClusterAI,2026-04-07,465,NA
"CoCalc by SageMath, Inc.",2026-04-08,2772,NA
Cognizant,2026-04-07,9142283,NA
Cologne AI and Machine Learning Meetup,2026-03-17,1040,2026
Colorado Community College System,2026-04-08,9280,NA
Colorado School of Mines,2026-04-08,103181,NA
Cpl,2026-04-07,432905,NA
"Crocs, Inc.",2026-04-08,132187,NA
DSN - Data Science Nigeria,2026-03-17,26432,2026
DSPT - Data Science Portugal,2026-03-17,11184,2026
DU - Daniels College of Business,2026-04-08,33533,NA
DU - Josef Korbel School,2026-04-08,6491,NA
Data & Society Research Institute,2026-04-07,27609,NA
Data Axle,2026-03-17,155165,2026
Data For Good,2026-04-07,33288,NA
Data Istanbul,2026-03-17,3929,2026
Data Lille,2026-03-17,1703,2026
Data Residents,2026-03-17,53,2026
Data Science & Artificial Intelligence/AI South East London,2026-03-17,180,2026
Data Science Academy,2026-03-17,571328,2026
Data Science Dojo,2026-03-17,308663,2026
Data Science Ghent,2026-03-17,299,2026
Data Science Indonesia,2026-03-17,11915,2026
Data Science Institute,2026-03-17,20062,2026
Data Science Meetup,2026-03-17,145,2026
Data Science Milan,2026-03-17,1842,2026
Data Science Research Arab Team,2026-03-17,305,2026
Data Science Research Perú,2026-03-17,39065,2026
Data Science and Ai Association of Australia | DSAi,2026-03-17,7226,2026
Data Science for Social Good Foundation,2026-04-07,8242,NA
Data Visualization Society,2026-04-08,153483,NA
Data for Good,2026-04-07,16615,NA
Data for Good Foundation,2026-04-07,2499,NA
DataDotOrg,2026-04-07,15575,NA
DataIQ,2026-04-07,25741,NA
DataIQ School of Analysis,2026-04-07,144,NA
DataKind,2026-04-07,32294,NA
DataKind UK,2026-04-07,5939,NA
Datalitics,2026-04-07,224,NA
Dataquest.io,2026-04-07,46441,NA
Datawrapper,2026-04-08,10528,NA
DecisionBrain,2026-03-17,4585,2026
Deloitte,2026-04-08,21502609,NA
Denver Health,2026-04-08,44845,NA
