"IBM",2025-08-11,"18553107"
"Accenture",2025-08-11,"13639285"
"Tata Consultancy Services",2025-08-11,"17701895"
"McKinsey & Company",2025-08-11,"6548935"
"Novartis",2025-08-11,"4258804"
"SAS",2025-08-11,"945998"
"Roche",2025-08-11,"3819702"
"Cognizant",2025-08-11,"8400432"
"Boston Consulting Group (BCG)",2025-08-11,"5019003"
"Informatica",2025-08-11,"351575"
"UNICEF",2025-08-11,"5173676"
"Ascential – Part of the Informa Group",2025-08-11,"68358"
"Esri",2025-08-11,"463813"
"Globant",2025-08-11,"1220475"
"Gates Foundation",2025-08-11,"1396162"
"Nagarro",2025-08-11,"1552500"
"Newgen Software",2025-08-11,"289370"
"Open Society Foundations",2025-08-11,"256629"
"IUCN",2025-08-11,"233815"
"Ford Foundation",2025-08-11,"267819"
"Office for National Statistics",2025-08-11,"81654"
"KIPP Foundation",2025-08-11,"67434"
"RWJF",2025-08-11,"124084"
"United Nations Foundation",2025-08-11,"216125"
"Oceana",2025-08-11,"75691"
"Packt",2025-08-11,"129417"
"United Nations Volunteers",2025-08-11,"3081074"
"Qatar Foundation",2025-08-11,"659671"
"MacArthur Foundation",2025-08-11,"185986"
"Gordon and Betty Moore Foundation",2025-08-11,"19152"
"Two Sigma",2025-08-11,"237902"
"The David and Lucile Packard Foundation",2025-08-11,"58332"
"Skoll Foundation",2025-08-11,"101255"
"Analytic Partners",2025-08-11,"41199"
"Conning",2025-08-11,"17933"
"The James Irvine Foundation",2025-08-11,"24014"
"Menlo Ventures",2025-08-11,"55975"
"William and Flora Hewlett Foundation",2025-08-11,"58671"
"Elm Company",2025-08-11,"764605"
"Doris Duke Foundation",2025-08-11,"11086"
"Mellon Foundation",2025-08-11,"77804"
"W.K. Kellogg Foundation",2025-08-11,"95345"
"Rockefeller Philanthropy Advisors",2025-08-11,"61684"
"Cité des sciences et de l'industrie",2025-08-11,"21273"
"G-Research",2025-08-11,"59646"
"Brightwater Recruitment",2025-08-11,"216142"
"Jupiter Asset Management",2025-08-11,"52255"
"Idiro Analytics",2025-08-11,"6173"
"Datalytics",2025-08-11,"38573"
"Pluralsight",2025-08-11,"223532"
"The Kresge Foundation",2025-08-11,"64610"
"The New York Community Trust",2025-08-11,"8722"
"Women in Technology (WIT)",2025-08-11,"339339"
"MMS",2025-08-11,"60376"
"Cpl",2025-08-11,"394575"
"GlobalLogic",2025-08-11,"1128547"
"Susquehanna International Group",2025-08-11,"204700"
"The Rockefeller Foundation",2025-08-11,"353271"
"Tableau",2025-08-11,"1101474"
"The Linux Foundation",2025-08-11,"367916"
"Genpact",2025-08-11,"5118803"
"i2, Inc.",2025-08-11,"998"
"The Apache Software Foundation",2025-08-11,"77409"
"WorldQuant",2025-08-11,"135753"
"Collibra",2025-08-11,"87833"
"Jump Trading Group",2025-08-11,"97104"
"Qualtrics",2025-08-11,"305052"
"United Nations Institute for Training and Research (UNITAR)",2025-08-11,"454106"
"Remsoft",2025-08-11,"5003"
"TxMQ",2025-08-11,"3712"
"Altair RapidMiner",2025-08-11,"20875"
"Canadian Institute of Actuaries l Institut canadien des actuaires",2025-08-11,"12231"
"Geoscience Australia",2025-08-11,"45048"
"Conrad N. Hilton Foundation",2025-08-11,"31011"
"KNIME",2025-08-11,"64134"
"ICHEC (Irish Centre for High-End Computing)",2025-08-11,"1973"
"Udemy",2025-08-11,"1579521"
"Pacific Whale Foundation",2025-08-11,"3518"
"QuantumBlack, AI by McKinsey",2025-08-11,"219674"
"Alteryx",2025-08-11,"346729"
"WebExpo Conference",2025-08-11,"4873"
"Datahug (acquired by CallidusCloud)",2025-08-11,"2640"
"Stack Overflow",2025-08-11,"1580537"
"The Analytics Institute",2025-08-11,"9946"
"NCX",2025-08-11,"9734"
"Kaggle",2025-08-11,"462818"
"Institute of Mathematics and its Applications",2025-08-11,"29863"
"Remote Sensing and Photogrammetry Society (RSPSoc)",2025-08-11,"34963"
"Open Knowledge Foundation",2025-08-11,"12558"
"Coillte",2025-08-11,"19946"
"The unbelievable Machine Company GmbH",2025-08-11,"2781"
"Lucid Software",2025-08-11,"139532"
"Alfred P. Sloan Foundation",2025-08-11,"6902"
"WebsiteNI",2025-08-11,"2082"
"UN Sustainable Development Group",2025-08-11,"255619"
"Bloomberg Philanthropies",2025-08-11,"196088"
"GitHub",2025-08-11,"5075235"
"Quovantis Technologies",2025-08-11,"14810"
"r-programming.org",2025-08-11,"2340"
"La Villette",2025-08-11,"25639"
"Jane Street",2025-08-11,"321952"
"CSO (Central Statistics Office Ireland)",2025-08-11,"13633"
"Eraneos Germany",2025-08-11,"5289"
"Posit PBC",2025-08-11,"111083"
"Asystec (Now Ergo)",2025-08-11,"2499"
"Tiger Analytics",2025-08-11,"541506"
"Irish Defence Forces Careers",2025-08-11,"19358"
"African Institute for Mathematical Sciences (AIMS)",2025-08-11,"25325"
"Center for International Environmental Law (CIEL)",2025-08-11,"28553"
"Inspire Walworth",2025-08-11,"100"
"WellClever",2025-08-11,"120"
"RegioData Research GmbH",2025-08-11,"440"
"VSN International",2025-08-11,"4004"
"Geospatial World",2025-08-11,"57601"
"General Assembly",2025-08-11,"212336"
"Walton Family Foundation",2025-08-11,"74675"
"Coursera",2025-08-11,"2381884"
"Flowminder",2025-08-11,"2764"
"Economic and Social Research Institute (ESRI)",2025-08-11,"28905"
"DataKind",2025-08-11,"29308"
"Film Analytics",2025-08-11,"214"
"Knoldus Inc | part of NashTech ",2025-08-11,"22082"
"STATSports",2025-08-11,"50536"
"DataRobot",2025-08-11,"147286"
"FishWise",2025-08-11,"6065"
"Xava",2025-08-11,"334"
"Dataiku",2025-08-11,"214881"
"Senseforth.ai",2025-08-11,"42546"
"H2O.ai",2025-08-11,"144239"
"Falkonry",2025-08-11,"5653"
"Gapminder Foundation",2025-08-11,"20607"
"Open Data Institute",2025-08-11,"21727"
"KatRisk",2025-08-11,"4013"
"Ixio Analytics",2025-08-11,"759"
"Xomnia",2025-08-11,"9407"
"Royal Statistical Society",2025-08-11,"20899"
"Black Girls Code",2025-08-11,"60155"
"FutureLearn",2025-08-11,"133051"
"dotAI by dotConferences",2025-08-11,"1402"
"Xanadu Consultancy",2025-08-11,"3122"
"ORRECO",2025-08-11,"5438"
"Qatar Computing Research Institute",2025-08-11,"21271"
"DataKind UK",2025-08-11,"5377"
"DataCamp",2025-08-11,"524008"
"Women Who Code",2025-08-11,"177299"
"Kitman Labs",2025-08-11,"16292"
"Plotly",2025-08-11,"43016"
"Data for Good",2025-08-11,"15260"
"Databricks",2025-08-11,"985849"
"IBM Hybrid Cloud and Infrastructure",2025-08-11,"278933"
"Appsilon",2025-08-11,"10819"
"Domino Data Lab",2025-08-11,"51824"
"BCG Digital Ventures",2025-08-11,"159645"
"Aon Centre for Innovation and Analytics (ACIA)",2025-08-11,"17832"
"Analytics Vidhya",2025-08-11,"204192"
"ProCogia",2025-08-11,"10936"
"Snowflake",2025-08-11,"1115163"
"Palomar ",2025-08-11,"6275"
"Data Science Dojo",2025-08-11,"306479"
"Fivetran",2025-08-11,"132875"
"DataIQ",2025-08-11,"23845"
"Data Science Institute",2025-08-11,"20036"
"IBM Data, AI & Automation",2025-08-11,"287604"
"CARTO",2025-08-11,"51911"
"Decision Inc.",2025-08-11,"37882"
"GitLab",2025-08-11,"1064827"
"Sustainable Development Solutions Network",2025-08-11,"81729"
"Segal Family Foundation",2025-08-11,"25507"
"Python Software Foundation",2025-08-11,"141893"
"Netcelero",2025-08-11,"1808"
"IHM ",2025-08-11,"4721"
"Major League Hacking",2025-08-11,"45882"
"UK Statistics Authority ",2025-08-11,"5094"
"Data Science Central",2025-08-11,"274434"
"SkyTruth",2025-08-11,"4407"
"VERDE",2025-08-11,"264"
"Daybreak",2025-08-11,"32203"
"Global Partnership for Sustainable Development Data",2025-08-11,"15743"
"Development Seed",2025-08-11,"8272"
"Group on Earth Observations (GEO)",2025-08-11,"19406"
"Squarepoint",2025-08-11,"63217"
"ADAPT Centre",2025-08-11,"8416"
"Data & Society Research Institute",2025-08-11,"24239"
"Appinventiv",2025-08-11,"631931"
"Gower Street Analytics",2025-08-11,"2381"
"Open Data Science Conference (ODSC)",2025-08-11,"143025"
"JuliaHub",2025-08-11,"33383"
"Python Ireland",2025-08-11,"4110"
"ThinkR (FR)",2025-08-11,"997"
"Sololearn",2025-08-11,"169980"
"Seekho.pk",2025-08-11,"17469"
"Lander Analytics",2025-08-11,"798"
"Dataquest.io",2025-08-11,"46074"
"NumFOCUS",2025-08-11,"11127"
"Ursa Labs",2025-08-11,"452"
"The Alan Turing Institute",2025-08-11,"98582"
"Klue",2025-08-11,"30465"
"insight2impact",2025-08-11,"1376"
"PyCon Italia",2025-08-11,"3275"
"PyData Berlin",2025-08-11,"1595"
"Project Jupyter",2025-08-11,"18096"
"GapData Institute",2025-08-11,"171"
"SatVu",2025-08-11,"11738"
"Data Science Academy",2025-08-11,"550935"
"Data For Good",2025-08-11,"25361"
"Twenty Billion Neurons",2025-08-11,"3276"
"Machine Learning Mastery",2025-08-11,"285373"
"SuperDataScience",2025-08-11,"94065"
"Big Data LDN",2025-08-11,"14359"
"Xuntos - Let's Get Together",2025-08-11,"834"
"Microsoft Power BI Mastery",2025-08-11,"86179"
"Zendesk AI agents (Ultimate)",2025-08-11,"14191"
"QuantStack",2025-08-11,"2355"
"Derilinx",2025-08-11,"1280"
"Radiant Earth",2025-08-11,"10640"
"United Nations Satellite Centre (UNOSAT)",2025-08-11,"8673"
"Global Fishing Watch",2025-08-11,"22201"
"OpenAI",2025-08-11,"7895937"
"RSS Data Science and AI Section",2025-08-11,"2950"
"Invenia Labs",2025-08-11,"2619"
"Hugging Face",2025-08-11,"1033702"
"Comunidad R Hispano",2025-08-11,"1178"
"The Global Academy",2025-08-11,"515"
"Open Cadastre",2025-08-11,"27"
"Sister Analyst",2025-08-11,"553"
"SDG Academy",2025-08-11,"31181"
"Innovate Limerick",2025-08-11,"937"
