"X1","X2","X3"
"Fujitsu",2025-08-18,"1143112"
"Dimension Data",2025-08-18,"434535"
"Fugro",2025-08-18,"366457"
"University College Dublin",2025-08-18,"340090"
"Oceaneering",2025-08-18,"571802"
"2K",2025-08-18,"338881"
"Appriss",2025-08-18,"7070"
"Foundation for Economic Education",2025-08-18,"25464"
"Lumina Foundation",2025-08-18,"34541"
"The Surfrider Foundation",2025-08-18,"41365"
"Wilder",2025-08-18,"10039"
"Aga Khan Foundation USA",2025-08-18,"28566"
"The Michael J. Fox Foundation for Parkinson's Research",2025-08-18,"51930"
"Katalyst Data Management",2025-08-18,"5933"
"Kadme AS - Knowledge and Data Management Expertise",2025-08-18,"1793"
"Neuralog",2025-08-18,"1943"
"Subsea7",2025-08-18,"911124"
"University of Limerick",2025-08-18,"134931"
"Prospect 33",2025-08-18,"24372"
"Van Leer Foundation",2025-08-18,"26791"
"ATRIBS GLOBAL TECHNOLOGY",2025-08-18,"7789"
"DOF",2025-08-18,"342550"
"Thalesians Ltd",2025-08-18,"5379"
"geoLOGIC systems ltd.",2025-08-18,"4518"
"Rocky Mountain Elk Foundation",2025-08-18,"32338"
"Dubai Technologies",2025-08-18,"18680"
"publicjobs",2025-08-18,"191155"
"TazWorks",2025-08-18,"1268"
"Stack Overflow",2025-08-18,"1581564"
"Kaggle",2025-08-18,"463772"
"MIT Technology Review",2025-08-18,"1480837"
"gistec",2025-08-18,"16829"
"TotalVerify",2025-08-18,"3759"
"GitHub",2025-08-18,"5111940"
"Adessium Foundation",2025-08-18,"4785"
"PHILANTHROPY ADVISORS",2025-08-18,"6253"
"Integra Data Systems Corp.",2025-08-18,"175"
"Posit PBC",2025-08-18,"111202"
"Bayanat Smart Solutions",2025-08-18,"60665"
"GBS Technology Co.",2025-08-18,"2479"
"DecisionBrain",2025-08-18,"4305"
"Dubai Technology Entrepreneur Campus - Dtec",2025-08-18,"15660"
"Nottingham Economics & Finance Society",2025-08-18,"5254"
"DataCamp",2025-08-18,"525068"
"Google Cloud",2025-08-18,"2909040"
"Data Science Dojo",2025-08-18,"306544"
"Hackster.io",2025-08-18,"55023"
"The Data Lab - Innovation Centre",2025-08-18,"16883"
"Data Science Institute",2025-08-18,"20027"
"Los Angeles Machine Learning Meetup",2025-08-18,"10"
"Open Robotics",2025-08-18,"180688"
"Python Software Foundation",2025-08-18,"142221"
"Data Science Society",2025-08-18,"1987"
"Softest Consulting Services Limited",2025-08-18,"5623"
"Oak Foundation",2025-08-18,"35991"
"Data Science Student Society at UC San Diego",2025-08-18,"1099"
"CONNECT Centre",2025-08-18,"5155"
"Irish Student Consulting Group (ISCG)",2025-08-18,"5791"
"Open Data Science Conference (ODSC)",2025-08-18,"143061"
"JuliaHub",2025-08-18,"33481"
"McMaster Computer Science Society",2025-08-18,"86"
"Python Ireland",2025-08-18,"4123"
"UCD Investors and Entrepreneurs Society",2025-08-18,"4061"
"Sololearn",2025-08-18,"170057"
"Cambridge University Data Science Society",2025-08-18,"276"
"MicroMap IT & GIS Consultancy, Abu Dhabi",2025-08-18,"2630"
"NumFOCUS",2025-08-18,"11160"
"HEDS Data Science",2025-08-18,"556"
"AI Copenhagen",2025-08-18,"329"
"PyData Berlin",2025-08-18,"1604"
"Erde Technologies Inc.",2025-08-18,"23"
"The LEGO Foundation",2025-08-18,"126453"
"DAIN Studios",2025-08-18,"4894"
"Irish Human Rights and Equality Commission",2025-08-18,"15622"
"Data Science Indonesia",2025-08-18,"11629"
"Data Science Academy",2025-08-18,"551698"
"Machine Learning Mastery",2025-08-18,"285355"
"Imperial College Data Science Society",2025-08-18,"1064"
"GULF TRAINING AND CONSULTATION CENTER",2025-08-18,"236"
"SuperDataScience",2025-08-18,"94066"
"Swiss Philanthropy Foundation",2025-08-18,"9065"
"Nordic.AI",2025-08-18,"665"
"Ryerson University Data Science Society",2025-08-18,"222"
"Nième Conseil",2025-08-18,"596"
"Data Science Ghent",2025-08-18,"299"
"University of Bristol Computer Science Society",2025-08-18,"300"
"OpenAI",2025-08-18,"8027032"
"Queen Mary Electronic Engineering & Computer Science Society",2025-08-18,"52"
"Hugging Face",2025-08-18,"1038737"
"OpenDataScience [ods.ai]",2025-08-18,"7054"
"Big Data and Artificial Intelligence Club",2025-08-18,"569"
"vGIS Inc.",2025-08-18,"26543"
"Data Science Portugal",2025-08-18,"10518"
"Western Computer Science Undergraduate Society",2025-08-18,"250"
"SwissAI",2025-08-18,"462"
"Ankara University Computer Society",2025-08-18,"1044"
"UBC Computer Science Student Society",2025-08-18,"760"
"AaltoAI",2025-08-18,"1264"
"PyData Amsterdam",2025-08-18,"4837"
"SAIS Sheffield Artificial Intelligence Society",2025-08-18,"37"
"UCD I&E Student Managed Fund",2025-08-18,"2346"
"Data Science Research Perú",2025-08-18,"34591"
"Finance Society at the University of Connecticut",2025-08-18,"708"
"Dalhousie Computer Science Society",2025-08-18,"182"
"Machine Learning at Berkeley",2025-08-18,"5153"
"UoM AI and Machine Learning Society",2025-08-18,"95"
"Data Science & Artificial Intelligence/AI South East London",2025-08-18,"176"
"AI Ireland",2025-08-18,"6969"
"PyData Cluj-Napoca",2025-08-18,"295"
"PyData Manaus",2025-08-18,"1242"
"Why R?",2025-08-18,"5239"
"Artificial Intelligence Hong Kong",2025-08-18,"2109"
"Hong Kong Data Science Society",2025-08-18,"272"
"PyData Delhi",2025-08-18,"1838"
"Beacon IT Solutions Abu Dhabi",2025-08-18,"251"
"PyData Raipur",2025-08-18,"51"
"LSESU Machine Learning Society",2025-08-18,"132"
"Kharagpur Data Analytics Group",2025-08-18,"3600"
"Data Visualization Society",2025-08-18,"150989"
"Cologne AI and Machine Learning Meetup",2025-08-18,"836"
"Computer Science Society (CSS) - University of Birmingham",2025-08-18,"443"
"PyData Amaravati",2025-08-18,"24"
"Age Of Geeks",2025-08-18,"149126"
"Lancaster University Computer Science Society",2025-08-18,"115"
"Hong Kong Machine Learning",2025-08-18,"3235"
"MLT",2025-08-18,"8915"
"OpenCV",2025-08-18,"325277"
"PyData São Paulo",2025-08-18,"1609"
"Machine Learning Society at MIM UW",2025-08-18,"363"
"Dublin University Computer Science Society",2025-08-18,"194"
"Evolution AI",2025-08-18,"4166"
"SeismicZone",2025-08-18,"687"
"Bamboo Health",2025-08-18,"17130"
"McMaster Computer Science Society",2025-08-18,"234"
"MAVA Foundation",2025-08-18,"8299"
"PyData Tel Aviv",2025-08-18,"813"
"Machine Learning Society",2025-08-18,"21195"
"Data Istanbul",2025-08-18,"3794"
"Fashion for Good",2025-08-18,"133409"
"NVIDIA AI",2025-08-18,"1346691"
"Data Science Student Society at UJ",2025-08-18,"124"
"UNSW Computer Science and Engineering Society (CSESoc)",2025-08-18,"2641"
"UNSW Data Science Society (DataSoc)",2025-08-18,"1323"
"Leeds Data Science Society",2025-08-18,"363"
"DeepLearning.AI",2025-08-18,"1245051"
"Data Science Society at Berkeley",2025-08-18,"1437"
"UCL Data Science Society",2025-08-18,"1823"
"McMaster Artificial Intelligence Society",2025-08-18,"1186"
"CSUDH Finance Student Society",2025-08-18,"89"
"Data Science Research Arab Team",2025-08-18,"279"
"Columbia Data Science Society",2025-08-18,"1084"
"Neptune Energy",2025-08-18,"96041"
"Sydney Machine Learning Group",2025-08-18,"185"
"meetup.ai",2025-08-18,"536"
"ICL Machine Learning Society",2025-08-18,"101"
"ITU Data Science Society ",2025-08-18,"1980"
"Centre for Sustainable Fashion",2025-08-18,"85699"
"PyData Athens",2025-08-18,"241"
"DSN - Data Science Nigeria",2025-08-18,"23062"
"Pydata Nairobi",2025-08-18,"41"
"PyData Bristol Meetup",2025-08-18,"111"
"JerusML",2025-08-18,"714"
"PyData Warsaw",2025-08-18,"323"
"Otago Computing Students Society",2025-08-18,"58"
"Integra Data and Analytic Solutions",2025-08-18,"1660"
"Data Lille",2025-08-18,"1583"
"LSESU Data Science Society",2025-08-18,"12"
"Sheffield Women in Computer Science Society",2025-08-18,"90"
"R User Community EMEA",2025-08-18,"602"
"Carleton Artificial Intelligence Society",2025-08-18,"345"
"AUB Computer Science Student Society",2025-08-18,"160"
"Data Science and Ai Association of Australia | DSAi",2025-08-18,"6874"
"Data Science Club of UWA",2025-08-18,"845"
"NTT DATA, Inc.",2025-08-18,"1151441"
"Google Summer of Code",2025-08-18,"106381"
"Pharos Platforms Inc.",2025-08-18,"675"
"Data Science Club at UTDallas",2025-08-18,"2302"
"Towards Data Science",2025-08-18,"642836"
"TMLS Summit",2025-08-18,"15129"
"AMD Silo AI",2025-08-18,"25653"
"Anaconda, Inc.",2025-08-18,"97502"
"VINE",2025-08-18,"1560"
"Warwick Data Science Society ",2025-08-18,"1658"
"PyData Piraeus",2025-08-18,"229"
"Data Science Milan",2025-08-18,"1689"
"The Data Pub",2025-08-18,"3342"
"Machine Learning & Data Science Meetup Roma",2025-08-18,"309"
"PyData London",2025-08-18,"1780"
"PyData Edinburgh",2025-08-18,"215"
"Data Science Society",2025-08-18,"299"
"USC Center for AI in Society's Student Branch (CAIS++)",2025-08-18,"369"
"PyData Charlotte",2025-08-18,"109"
"PyData NYC",2025-08-18,"1837"
"PyData",2025-08-18,"1686"
"Artificial Intelligence & Robotics Society, University of Portsmouth",2025-08-18,"380"
"Machine Learning",2025-08-18,"221166"
"PyCon DE & PyData",2025-08-18,"4066"
"The Machine Learning Institute Certificate in Finance (MLI)",2025-08-18,"1575"
"Artificial Intelligence in Medical Systems Society (AIMSS)",2025-08-18,"1426"
"Meetup Machine Learning Québec",2025-08-18,"114"
"The Data Science & Statistics Society",2025-08-18,"550"
"Machine Learning in Healthcare",2025-08-18,"985"
"PyData Lancaster",2025-08-18,"808"
"Bristol Data Science Society",2025-08-18,"404"
"University Of Sheffield Computer Science Society",2025-08-18,"104"
"PyData Singapore",2025-08-18,"22"
"DUBAI TECH",2025-08-18,"126"
"PyData Brasília",2025-08-18,"260"
"PyData Los Angeles",2025-08-18,"158"
"Monash Data & AI Society",2025-08-18,"1304"
"Data Residents",2025-08-18,"53"
"PyData Cyprus",2025-08-18,"339"
"Toronto Machine Learning Meetup",2025-08-18,"292"
"PyData La Paz",2025-08-18,"13"
"PyData Miami",2025-08-18,"560"
"JuliaCon 2025",2025-08-18,"5287"
"PyData Ann Arbor",2025-08-18,"20"
"Data Axle",2025-08-18,"150214"
"PyData Bydgoszcz",2025-08-18,"1052"
"Laudes Foundation",2025-08-18,"35312"
"Research Ireland Centre for Research Training in Artificial Intelligence",2025-08-18,"2132"
"AI Hack 2021",2025-08-18,"116"
"Buffalo State Data Science & Analytics (DSA)",2025-08-18,"685"
"Data Science and AI Society - UTS",2025-08-18,"388"
"UCD Netsoc – UCD's Internet and Computer Science Society",2025-08-18,"515"
"R User Community ",2025-08-18,"20345"
"KCL Data Science Society",2025-08-18,"69"
